a	하나의
abandon	버리다
able	할수있는
aboard	배로
abort	유산하다
about	-에대하여
above	-보다위에
abroad	외국으로
absent	부재의
absolute	절대의
absorb	흡수하다
abstract	추상적인
absurd	불합리한
abundant	풍부한
abuse	남용
academy	학술원
accelerate	가속하다속도가가해지다
accent	액센트
accept	받아들이다
access	접근
accident	뜻밖의사건
accommodate	수용하다
accompany	동반하다
accomplish	이루다
accord	일치하다
account	설명하다계산
accumulate	축적하다
accurate	정확한
accuse	고발하다
achieve	성취하다
acid	산신
acknowledge	인정하다
acquaint	알리다
acquire	얻다
acquisition	획득
across	가로질러
act	vi행동하다
activate	활동적으로하다
actual	현실의
acute	날카로운
adapt	적용시키다
add	추가하다
addict	열중하게하다
address	말을걸다
adequate	충분한
adjust	맞추다
administer	관리하다
admire	감복하다
admission	입장
admit	받아들이다
adolescent	청년기의
adopt	채용하다
adult	성인
advance	나아가다
advantage	유리한입장
adventure	모험,모험하다
adverse	거꾸로의
advertize	광고하다
advise	충고하다
advocate	변호사
aesthetic	미적인
affair	일
affect	영향을주다
affection	애정
affiliate	회원으로가입시키다
afford	여유가있다
afraid	두려워하여
after	후에
afternoon	오후
again	다시
against	…에반대하여
age	연령
agency	기능
agenda	안건
agent	대리인
aggressive	침략적인
ago	이전에
agree	동의하다
agriculture	농업
ahead	전방에
aid	도와주다
aim	겨누다
air	공기
airplane	비행기
aircraft	항공기
airline	정기항공
airport	공항
aisle	측면복도
alert	빈틈없는
alien	외국의
alike	비슷한
alive	살아있는
all	모든
allocate	할당하다
allow	허락하다
ally	동맹하다
almost	거의
alone	다만홀로(혼자서)
along	-을따라
alongside	-의곁에
aloud	큰소리로
already	이미
alright	더할나위없이
also	-도또한
alter	바꾸다
alternative	어느한쪽의양자택일
although	비록-일지라도
altogether	전혀
always	늘
A.M.	오전
amaze	깜짝놀라게하다
ambassador	대사
ambition	야심
among	-중에
amount	(금액이)-이되다
amplify	확대하다
amuse	재미나게하다
analyze	분해하다
anchor	닻
ancient	옛날의
and	및
angel	천사
anger	성
angle	각
animal	동물
anniversary	기념일예년의
announce	알리다
annoy	귀찮게하다
annual	일년의
another	또하나
answer	대답
ant	개미
anticipate	예기하다
anxiety	근심
anxious	걱정되는
any	어떤
apart	떨어져서
apology	사과
apparent	명백한
